latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
23.09898,100.86438,353.61,0.53,0.5,2025-06-07,0659,N,nominal,2.0NRT,296.37,24.82,D
13.20644,98.65658,335.73,0.45,0.39,2025-06-07,0657,N,nominal,2.0NRT,289.1,2.25,D
14.04724,101.98513,333.34,0.48,0.48,2025-06-07,0657,N,nominal,2.0NRT,288.96,1.59,D
13.75837,99.61052,340.03,0.51,0.41,2025-06-07,0657,N,nominal,2.0NRT,298.56,7.02,D
13.98985,100.26346,330.31,0.56,0.43,2025-06-07,0657,N,nominal,2.0NRT,292.42,4.18,D
14.18849,100.81647,335.59,0.41,0.45,2025-06-07,0657,N,nominal,2.0NRT,290.47,2.48,D
14.19057,100.81559,330.24,0.41,0.45,2025-06-07,0657,N,nominal,2.0NRT,290.76,2.14,D
14.55286,100.51587,335.48,0.39,0.44,2025-06-07,0657,N,nominal,2.0NRT,299.46,4.25,D
14.89052,101.02965,330.07,0.43,0.46,2025-06-07,0657,N,nominal,2.0NRT,296.58,3.23,D
15.77872,101.7445,331.75,0.49,0.48,2025-06-07,0657,N,nominal,2.0NRT,294.26,3.56,D
15.77815,101.7399,330.43,0.49,0.48,2025-06-07,0657,N,nominal,2.0NRT,294.62,3.56,D
15.70816,101.14914,330.98,0.45,0.47,2025-06-07,0657,N,nominal,2.0NRT,296.1,2.98,D
15.70766,101.14513,330.24,0.45,0.47,2025-06-07,0657,N,nominal,2.0NRT,297.42,2.98,D
15.87674,99.93811,331.82,0.57,0.43,2025-06-07,0657,N,nominal,2.0NRT,294.71,3.18,D
16.13524,99.88411,336.82,0.57,0.43,2025-06-07,0657,N,nominal,2.0NRT,295.15,4.2,D
16.17378,99.4747,330.85,0.54,0.42,2025-06-07,0657,N,nominal,2.0NRT,295.01,3.16,D
17.79199,100.31029,329.3,0.42,0.45,2025-06-07,0657,N,nominal,2.0NRT,294.98,2.03,D
17.8481,99.62938,337.36,0.38,0.43,2025-06-07,0657,N,nominal,2.0NRT,294.04,2.73,D
17.86692,99.6488,344.84,0.38,0.44,2025-06-07,0657,N,nominal,2.0NRT,294.4,3.65,D
17.86525,99.60394,334.99,0.57,0.43,2025-06-07,0657,N,nominal,2.0NRT,295.92,5.87,D
18.28713,101.82289,330.23,0.53,0.5,2025-06-07,0657,N,nominal,2.0NRT,279.16,13.11,D
18.11651,99.30542,337.75,0.56,0.43,2025-06-07,0657,N,nominal,2.0NRT,295.7,5.26,D
18.14348,99.48619,334.13,0.57,0.43,2025-06-07,0657,N,nominal,2.0NRT,296.07,3.05,D
18.29772,99.66143,341.5,0.39,0.44,2025-06-07,0657,N,nominal,2.0NRT,296.3,6.3,D
18.29723,99.65759,343.52,0.39,0.44,2025-06-07,0657,N,nominal,2.0NRT,298.64,6.3,D
18.25919,98.47997,331.49,0.5,0.41,2025-06-07,0657,N,nominal,2.0NRT,292.47,5.73,D
18.25854,98.47505,334.09,0.5,0.41,2025-06-07,0657,N,nominal,2.0NRT,294.74,5.73,D
18.24034,98.11461,336.62,0.48,0.4,2025-06-07,0657,N,nominal,2.0NRT,290.88,6.03,D
18.23941,98.11601,332.45,0.48,0.4,2025-06-07,0657,N,nominal,2.0NRT,289.95,5.49,D
17.98044,95.78223,331.78,0.4,0.37,2025-06-07,0657,N,nominal,2.0NRT,294.93,2.54,D
18.79491,101.5334,331.12,0.52,0.5,2025-06-07,0657,N,nominal,2.0NRT,292.98,5.46,D
18.80517,101.54153,343.95,0.52,0.5,2025-06-07,0657,N,nominal,2.0NRT,293.78,13.71,D
18.74049,99.57444,330.21,0.39,0.44,2025-06-07,0657,N,nominal,2.0NRT,296.42,3.04,D
19.31487,100.74804,330.28,0.47,0.48,2025-06-07,0659,N,nominal,2.0NRT,290.22,2.2,D
19.00396,98.27171,337.04,0.5,0.41,2025-06-07,0659,N,nominal,2.0NRT,290.25,4.02,D
19.63811,101.88799,345.81,0.56,0.51,2025-06-07,0659,N,nominal,2.0NRT,295.68,16.16,D
20.01241,99.3902,333.16,0.39,0.44,2025-06-07,0659,N,nominal,2.0NRT,296.32,4.31,D
20.20887,100.59309,335.6,0.47,0.48,2025-06-07,0659,N,nominal,2.0NRT,284.06,4.2,D
20.34781,100.29056,347.37,0.45,0.47,2025-06-07,0659,N,nominal,2.0NRT,295.43,6.34,D
20.36198,100.29927,330.96,0.45,0.47,2025-06-07,0659,N,nominal,2.0NRT,295.15,2.77,D
20.4345,100.54283,331.96,0.47,0.48,2025-06-07,0659,N,nominal,2.0NRT,293.55,2.88,D
20.42243,100.43938,332.18,0.46,0.47,2025-06-07,0659,N,nominal,2.0NRT,294.39,6.31,D
17.39249,81.25668,333.82,0.64,0.72,2025-06-07,0659,N,nominal,2.0NRT,289.66,8.8,D
17.38862,81.25436,341.59,0.64,0.72,2025-06-07,0659,N,nominal,2.0NRT,289.22,9.24,D
20.94142,101.77915,329.57,0.57,0.52,2025-06-07,0659,N,nominal,2.0NRT,292.89,2.62,D
21.03152,101.80884,333.1,0.58,0.52,2025-06-07,0659,N,nominal,2.0NRT,292.34,4.73,D
20.93955,100.80654,337.54,0.5,0.49,2025-06-07,0659,N,nominal,2.0NRT,293.52,4.22,D
21.02276,100.73402,342.16,0.49,0.49,2025-06-07,0659,N,nominal,2.0NRT,292.2,21.75,D
20.88242,96.03271,350.31,0.42,0.38,2025-06-07,0659,N,nominal,2.0NRT,300.75,6.96,D
20.88643,96.03618,356.37,0.42,0.38,2025-06-07,0659,N,low,2.0NRT,301.83,11.68,D
20.88587,96.03215,356.37,0.42,0.38,2025-06-07,0659,N,low,2.0NRT,301.81,6.96,D
20.97619,96.02216,350.64,0.42,0.38,2025-06-07,0659,N,nominal,2.0NRT,300.39,4.56,D
20.97562,96.01814,344.18,0.42,0.38,2025-06-07,0659,N,nominal,2.0NRT,300.94,3.76,D
20.97392,96.00607,341.11,0.42,0.38,2025-06-07,0659,N,nominal,2.0NRT,300.09,3.37,D
